phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
O,lower
O,mid
O,back
O,rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
xxo,mid
xxo,back
xxo,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a,low
a,central
a,unrounded
aa,raised
aa,low
aa,front
aa,unrounded
aa~,nasalized
aa~,raised
aa~,low
aa~,front
aa~,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
i,high
i,front
i,unrounded
i_,high
i_,central
i_,unrounded
i_~,nasalized
i_~,high
i_~,central
i_~,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
u,high
u,back
u,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
