phoneme,feature
I,lowered
I,high
I,front
I,unrounded
I~,nasalized
I~,lowered
I~,high
I~,front
I~,unrounded
O,lower
O,mid
O,back
O,rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
U,lowered
U,high
U,back
U,rounded
U~,nasalized
U~,lowered
U~,high
U~,back
U~,rounded
..e,mid
..e,front
..e,unrounded
..e~,nasalized
..e~,mid
..e~,front
..e~,unrounded
a,low
a,central
a,unrounded
aa,raised
aa,low
aa,front
aa,unrounded
aa~,nasalized
aa~,raised
aa~,low
aa~,front
aa~,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
o,higher
o,mid
o,back
o,rounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
